citfunc	sectitle	refentry	art	sectype	sectype2	refid	sec	ctx	pointerlist	nbcontexts	nbsections	itrp	anchorsent	partext	potential_cf	annotator	dataset
cites	Introduction	D.L. Hoffman, T.P. Novak, M. Peralta, Building consumer trust online , Communications of the ACM , vol. 42 (1999), pp.80-85	http://dx.doi.org/10.1016/j.aci.2009.04.001	introduction		<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2009-04-001/br/b0145>	<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2009-04-001/sec/1>	<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2009-04-001/ctx/ctx0003>				http://www.scar.disi.unibo.it/r/10-1016-j-aci-2009-04-001/itrp/0008	'In summary, the open nature of the Internet as a transaction infrastructure and its global nature create uncertainty around on-line transactions, and this poses trust, credibility and risk as crucial elements of e-transaction (Hoffman et al., 1999[[ refid=''b0145'' ]]).'				100_classified_citeAsReview
cites	Literature review	Boutell, M., Shen, X., Luo, J., Brown, C., 2003. Multi-label semantic scene classification. Technical report 813, Department of Computer Science, University of Rochester, Rochester, NY 14627 & Electronic Imaging Products R & D, Eastern Kodak Company.	http://dx.doi.org/10.1016/j.aci.2014.07.002			<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2014-07-002/br/b0010>	<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2014-07-002/sec/3>	<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2014-07-002/ctx/ctx0009>				http://www.scar.disi.unibo.it/r/10-1016-j-aci-2014-07-002/itrp/0013	'Finally, a common data transformation method used in image classification that derives a single label binary classifier for every class in the class set is called Binary Relevance (BR) (Boutell et al., 2003[[ refid=''b0010'' ]]).'				100_classified_citeAsReview
cites_as_review	Introduction	Tsoumakas, G., Katakis, I., 2007. Multi-label classification: an overview. In: David Taniar (Ed.), International Journal of Data Warehousing and Mining, Idea Group Publishing, 3(3), pp. 1–13.	http://dx.doi.org/10.1016/j.aci.2014.07.002	introduction		<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2014-07-002/br/b0095>	<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2014-07-002/sec/1>	<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2014-07-002/ctx/ctx0001>				http://www.scar.disi.unibo.it/r/10-1016-j-aci-2014-07-002/itrp/0014	'Generally and according to (Tsoumakas and Katakis, 2007[[ refid=''b0095'' ]]), there are two types of classification problems, these are termed as single label and multi-label.'				100_classified_citeAsReview
cites	The proposed sport result prediction intelligent framework	J. Hucaljuk, A. Rakipović, Predicting	http://dx.doi.org/10.1016/j.aci.2017.09.005	results		<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2017-09-005/br/b0100>	<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2017-09-005/sec/3>	<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2017-09-005/ctx/ctx0034>				http://www.scar.disi.unibo.it/r/10-1016-j-aci-2017-09-005/itrp/0034	'Hucaljuk and Rakipovic [15][[ refid=''b0100'' ]] included an expert-selected feature set in addition to their initial feature set.'		<http://purl.org/spar/cito/usesMethodIn>		top100compsc
uses_method_in	The proposed sport result prediction intelligent framework	I. Qabajeh, F. Thabtah, F. Chiclana, A dynamic rule-induction method for classification in data mining , J. Manage. Anal. , vol. 2 (2015), pp.233-253	http://dx.doi.org/10.1016/j.aci.2017.09.005	results		<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2017-09-005/br/b9035>	<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2017-09-005/sec/3>	<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2017-09-005/ctx/ctx0037>				http://www.scar.disi.unibo.it/r/10-1016-j-aci-2017-09-005/itrp/0035	'The first step in the modelling process is to select which candidate models will be used in the experimentation [34][[ refid=''b9035'' ]].'		<http://purl.org/spar/cito/usesMethodIn>		top100compsc
cites	The proposed sport result prediction intelligent framework	J. Hucaljuk, A. Rakipović, Predicting	http://dx.doi.org/10.1016/j.aci.2017.09.005	results		<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2017-09-005/br/b0100>	<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2017-09-005/sec/3>	<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2017-09-005/ctx/ctx0032>				http://www.scar.disi.unibo.it/r/10-1016-j-aci-2017-09-005/itrp/0040	'Hucaljuk and Rakipovic [15][[ refid=''b0100'' ]] used a separate expert-selected feature set against their own feature set, to investigate the value of expert opinion for feature selection.'		<http://purl.org/spar/cito/usesMethodIn>		top100compsc
cites	The proposed sport result prediction intelligent framework	C. Cao, Sports data mining technology used in basketball outcome prediction. Master’s Thesis, Dublin Institute of Technology, Ireland, 2012.	http://dx.doi.org/10.1016/j.aci.2017.09.005	results		<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2017-09-005/br/b0030>	<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2017-09-005/sec/3>	<http://www.scar.disi.unibo.it/r/10-1016-j-aci-2017-09-005/ctx/ctx0038>				http://www.scar.disi.unibo.it/r/10-1016-j-aci-2017-09-005/itrp/0041	'For example, Cao [5][[ refid=''b0030'' ]] used seasons up from 2005/2006 to 2009/2010 were used as the training data, and the 2010/2011 season was used as the test data, to evaluate models that predict basketball match results.'		<http://purl.org/spar/cito/usesMethodIn>		top100compsc
cites	Related work	S. Park, A. Savvides, M.B. Srivastava, SensorSim: a simulation framework for sensor networks, in: Proceedings of the Third International Workshop on Modeling Analysis and Simulation of Wireless and Mobile Systems (MSWiM 2000), Boston, MA, USA, August, 2000.	http://dx.doi.org/10.1016/j.adhoc.2010.09.003	related work		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2010-09-003/br/b0060>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2010-09-003/sec/2>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2010-09-003/ctx/ctx0012>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2010-09-003/itrp/0045	'SensorSim [12][[ refid=''b0060'' ]] is an extension to ns-2.'				100_classified_extends
uses_method_in	Introduction	D. Gavidia, S. Voulgaris, M. van Steen, A Gossip-based distributed news service for wireless mesh networks, in: Proc. Third Int’l Conf. Wireless On-demand Network Systems and Services (WONS), January 2006.	http://dx.doi.org/10.1016/j.adhoc.2012.01.006	introduction		<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-01-006/br/b0055>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-01-006/sec/1>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-01-006/ctx/ctx0007>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-01-006/itrp/0029	'This deployment model was borrowed from the proposal presented in [11][[ refid=''b0055'' ]].'				100_classified_extends
uses_method_in	Research challenges	S. Barbarossa, G. Scutari, A. Swami, Distributed detection and estimation in decentralized sensor networks: and overview, in: Proceedings of EURASIP EUSIPCO, Florence, 2006.	http://dx.doi.org/10.1016/j.adhoc.2012.02.016			<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-02-016/br/b0295>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-02-016/sec/4>	<http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-02-016/ctx/ctx0041>				http://www.scar.disi.unibo.it/r/10-1016-j-adhoc-2012-02-016/itrp/0122	'Average field measurement is performed by the distributed self-clocking scheme described in [59][[ refid=''b0295'' ]].'				100_classified_citeAsReview
